question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,order_flow_imbalance,wallet_age_median_days,cross_market_wallet_flag,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
Will Kamala Harris win the 2024 US Presidential Election?,1037039118.18879,-0.030664940867727752,0.421,0.0,0.00596498383411392,0.024500000000000022,0.0015000000000000013,-0.017000000000000015,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.10898130886163053,0.036659089665386016,0.5134428180864918,0.18625749974679057,2024-11-04T12:00:00Z
Kamala Harris wins the popular vote?,163779786.645492,-0.14712817042453935,0.265,0.0,0.006752646480843401,0.03249999999999997,0.007000000000000006,-0.009500000000000064,0.008499999999999952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1082106349625381,0.0,0.10383819692195861,0.10192561560629529,2024-11-05T12:00:00Z
"US strikes Iran by January 14, 2026?",13619741.635223,-0.1476862300966687,0.15,0.20000000000000023,0.009695359714832655,0.03,0.024999999999999994,-0.024999999999999994,-0.024999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.40326773310847086,0.1289831537540941,0.01704915149108366,0.3123097878172746,2026-01-14T00:00:00Z
"US strikes Iran by February 28, 2026?",89652867.363489,-0.11563173855674963,0.515,0.16666666666666666,0.011060760621761732,0.040000000000000036,0.06000000000000005,-0.04999999999999993,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,1.0,0.1451741834933078,1.0,0.9572587091746654,2026-01-31T00:00:00Z
"US strikes Iran by February 13, 2026?",15146244.148657,-0.16442984715160364,0.345,0.05263157894736845,0.01069029844113461,0.04500000000000004,0.09500000000000003,0.0050000000000000044,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.15301996231276996,0.056354390563880204,0.31621984169524997,0.18082665960182148,2026-01-31T00:00:00Z
Will the Democratic candidate win Pennsylvania by 0%-0.5%?,12530511.484186,-0.1368642480049745,0.16,0.0,0.01500716593581477,0.05,0.095,-0.020000000000000004,-0.024999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.12704980870141844,0.1261164264846893,0.017244383011969955,0.10504205445269227,2024-11-05T12:00:00Z
US government shutdown Saturday?,157296576.448084,0.005472238620666259,0.385,0.040000000000000036,0.04843522507033805,0.23999999999999994,0.25,-0.030000000000000027,0.18499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1250324895913885,0.36770521899469416,0.002066733067856097,0.1125729747568473,2026-01-31T00:00:00Z
Will Karol Nawrocki be the next President of Poland?,31735999.949038,-0.18862252629376614,0.265,0.0,0.006049815833239551,0.025000000000000022,0.010000000000000009,-0.020000000000000018,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1630140231664795,0.0012906164038900719,0.1085922442418592,0.14404349704342598,2025-05-18T12:00:00Z
Will Rafał Trzaskowski be the next President of Poland?,40863065.298881,-0.15711528793845486,0.30500000000000005,0.0,0.004996603645028676,0.020000000000000018,0.04500000000000004,0.03500000000000003,0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1082106349625381,0.08991581464468296,0.13719542009549657,0.11309285097323704,2025-05-18T12:00:00Z
Will Pierre Poilievre be the next Canadian Prime Minister?,67376035.838465,-0.16557878722760944,0.2195,0.0,0.0034017277851038415,0.015499999999999986,0.0050000000000000044,-0.004500000000000004,-0.0005000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.2966125063772041,0.015214314442558429,0.04536569148373115,0.23229323380177722,2025-04-28T12:00:00Z
Will Mark Carney be the next Canadian Prime Minister?,36416000.185007,-0.1677905959170375,0.22050000000000003,0.0,0.0028576852295139816,0.013000000000000012,0.0030000000000000027,0.0044999999999999485,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.20557460972162803,0.04651747755763149,0.04299690974218928,0.16510621311754045,2025-04-28T12:00:00Z
Will the next Prime Minister of Hungary be Viktor Orbán?,25456113.707224935,-0.16379007047858096,0.305,0.5,0.004985185152621435,0.010000000000000009,0.020000000000000018,-0.010000000000000009,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.24532508706670939,0.10237109179062469,0.10522768072683653,0.21015790603493056,2026-04-12T00:00:00Z
Will the next Prime Minister of Hungary be Péter Magyar?,24555476.477281053,-0.13951017153124595,0.30500000000000005,1.0,0.004382281320814535,0.010000000000000009,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.24532508706670939,0.23204791212686265,0.0022993568297725586,0.19605608227232968,2026-04-12T00:00:00Z
Iran x Israel/US conflict ends by April 15?,17450416.216830038,-0.04082914284839623,0.5575,0.013377926421404692,0.048874996737825464,0.15200000000000002,0.29900000000000004,0.040000000000000036,0.19200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.20136558687785147,0.38401377976996576,0.0022737777531036674,0.17067963469750763,2026-04-15T00:00:00Z
Will a Democrat win the popular vote and the Presidency? ,14756382.198283,-0.15326826465049398,0.435,0.23076923076923098,0.005148320694707591,0.019999999999999962,0.065,-0.03500000000000003,-0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.10659911895111347,0.15417925083565956,0.7296270901609645,0.23358371978731102,2024-11-05T12:00:00Z
Will a Republican win the popular vote and the Presidency? ,15286458.166973,-0.05238401305362367,0.255,1.9999999999999973,0.008777723976483517,0.03999999999999998,0.010000000000000009,0.0,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.10659911895111347,0.42452082085553783,3.5698666245309596e-11,0.10117538026325174,2024-11-05T12:00:00Z
Will a Democrat win the popular vote and a Republican win the Presidency?,18758441.931819,-0.12296874285673204,0.295,0.2666666666666669,0.006866442367278691,0.02999999999999997,0.07500000000000001,0.034999999999999976,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1082106349625381,0.20837269076810663,0.12069836505372866,0.11571628377105464,2024-11-05T12:00:00Z
2024 Balance of Power: R Prez R Senate R House,11132803.610888,-0.18228678353284633,0.355,0.16666666666666666,0.005871338181509207,0.020000000000000018,0.030000000000000027,0.010000000000000009,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1082106349625381,0.04586955366280788,0.34567319908612437,0.15258609372226883,2024-11-05T12:00:00Z
Fed decreases interest rates by 50+ bps after September 2024 meeting?,10906333.42219,-0.14311147613500258,0.475,0.0,0.013433386110030771,0.05999999999999994,0.008500000000000063,-0.04200000000000004,-0.024500000000000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1526951123098484,0.11184017774824627,0.703997279677443,0.2609127990552872,2024-09-18T12:00:00Z
Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,17826731.742495,-0.053930533984089146,0.745,0.06896551724137938,0.04488050630378629,0.29000000000000004,0.29,0.0,-0.09500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.19861309832413715,0.40346368387982656,0.0006290575406581178,0.1692588194452258,2025-06-24T12:00:00Z
Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,17848349.233334,-0.03544208518122105,0.7515000000000001,0.05772495755517831,0.04297631918702023,0.2859999999999999,0.29450000000000004,-0.0040000000000000036,0.10400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.20136558687785147,0.40521570014501845,0.0005485278713549535,0.17139468073991052,2025-06-24T12:00:00Z
Maduro out in 2025?,34641400.627049,-0.11639313977171689,0.0075,0.0,0.0006669118305811693,0.0025000000000000005,0.006,-0.0035,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.6,False,True,0.9246169925568747,0.24186274670224048,0.00025910819334440394,0.705607703391437,2025-12-31T12:00:00Z
Will Trump visit China by March 31?,10369639.104046939,0.01623337608605946,0.61,0.0,0.062124153854663675,0.415,0.49,0.0,-0.024999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.19861309832413715,0.48616613953472415,3.1706891712168783e-07,0.17326819413362246,2025-10-31T00:00:00Z
